gutenberg_id	title	author	sentence
1342	Pride and Prejudice	Jane Austen	From the drawing-room they could distinguish nothing in the lane, and were indebted to Mr
345	Dracula	Bram Stoker	Thus, in fine, if he escape not on shore to-night, or before dawn, there will be the whole day lost to him
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Twice burglars in my pay ransacked her house
345	Dracula	Bram Stoker	For an instant or two we paused at the door to listen, but there was no sound that we could hear
345	Dracula	Bram Stoker	Let me hear how she died; for all that I know of her, I shall be very grateful
1342	Pride and Prejudice	Jane Austen	You ought all to have learned
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	One of the farms which he held, that of Hatherley, was let to Mr
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I shall call with the King to-morrow, and with you, if you care to come with us
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	There was never any mystery in the matter, though, as I said yesterday, some of the details are of interest
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Outside the wind still screamed and the rain splashed and pattered against the windows
345	Dracula	Bram Stoker	He made me sit next to him on his right, and asked me to act as secretary; Jonathan sat next to me
345	Dracula	Bram Stoker	The qualitative analysis gives a quite normal condition, and shows, I should infer, in itself a vigorous state of health
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Bring him into the sitting-room
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	In ten days I had the money and had paid the debt
345	Dracula	Bram Stoker	To-day, then, is ours; and in it rests our hope
1342	Pride and Prejudice	Jane Austen	No one who has ever seen you together can doubt his affection; Miss Bingley, I am sure, cannot: she is not such a simpleton
1342	Pride and Prejudice	Jane Austen	I must conclude, for I cannot be long from my poor mother
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	My father had a small factory at Coventry, which he enlarged at the time of the invention of bicycling
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Jones, of Scotland Yard
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	His brows were drawn into two hard black lines, while his eyes shone out from beneath them with a steely glitter
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	But then, when I found how I had betrayed myself, I began to think
345	Dracula	Bram Stoker	I am glad to say that, though I was crying, I was able to look into Mr
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	His dress was rich with a richness which would, in England, be looked upon as akin to bad taste
345	Dracula	Bram Stoker	The man is an undeveloped homicidal maniac
1342	Pride and Prejudice	Jane Austen	But before she had been three minutes in her own room, her mother followed her
345	Dracula	Bram Stoker	I feel there is something ominous in his calm, and shall not forget this night
1342	Pride and Prejudice	Jane Austen	At that moment she cared for no other
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Besides, I knew that my assistant was a good man, and that he would see to anything that turned up
345	Dracula	Bram Stoker	A terrible desire came upon me to rid the world of such a monster
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	There are not many in London which charge at that rate
345	Dracula	Bram Stoker	These Szgany are gipsies; I have notes of them in my book
345	Dracula	Bram Stoker	I wish I could put down all he said exactly as he said it, for to me it was most fascinating
345	Dracula	Bram Stoker	Ever since then I have taken care not to take off my hat or veil, and so have escaped their suspicions
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	My life is spent in one long effort to escape from the commonplaces of existence
1342	Pride and Prejudice	Jane Austen	I fancy she was wanted about the mince-pies
1342	Pride and Prejudice	Jane Austen	She seldom listened to anybody for more than half a minute, and never attended to Mary at all
345	Dracula	Bram Stoker	This time he had broken out through the window of his room, and was running down the avenue
1342	Pride and Prejudice	Jane Austen	He could not help seeing that you were about five times as pretty as every other woman in the room
1342	Pride and Prejudice	Jane Austen	He drew a chair near her
345	Dracula	Bram Stoker	That he is not here already shows that he went to Mile End next
345	Dracula	Bram Stoker	Van Helsing, I have nothing to say
345	Dracula	Bram Stoker	The castle is on the very edge of a terrible precipice
1342	Pride and Prejudice	Jane Austen	Bingley thought her quite beautiful, and danced with her twice
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I assure you that your little problem promises to be the most interesting which has come my way for some months
345	Dracula	Bram Stoker	Mother did not seem to take to my proposal
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	If you have not, you are not fitted for the rearing of a child who may some day play a considerable part in the history of the country
1342	Pride and Prejudice	Jane Austen	I shall entreat his pardon for not having done it earlier
1342	Pride and Prejudice	Jane Austen	My dear aunt, how could you think of it
1342	Pride and Prejudice	Jane Austen	Wickham; and nothing less than a dance on Tuesday could have made such a Friday, Saturday, Sunday, and Monday endurable to Kitty and Lydia
345	Dracula	Bram Stoker	At length she grew more calm and turning to him said, sweetly, but oh
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I wish she had been of my own station
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	It had ceased ere I was wide awake, but it had left an impression behind it as though a window had gently closed somewhere
1342	Pride and Prejudice	Jane Austen	Colonel Fitzwilliam was no longer an object
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	I thought at the time that this might be the maid and her sweetheart, of whom you had already spoken to me, and inquiry showed it was so
1342	Pride and Prejudice	Jane Austen	And what do you think she said besides
1342	Pride and Prejudice	Jane Austen	Forster, the wife of the colonel of the regiment, to accompany her to Brighton
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	She listened for an instant, threw up her hands with a despairing gesture, and vanished as suddenly and as noiselessly as she had come
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	It exists because of the efforts of hundreds of volunteers and donations from people in all walks of life
1342	Pride and Prejudice	Jane Austen	He bore it, however, with admirable calmness
345	Dracula	Bram Stoker	We had dinner and went to bed early
1342	Pride and Prejudice	Jane Austen	_Their_ situation was awkward enough; but _hers_ she thought was still worse
345	Dracula	Bram Stoker	I know now what men feel in battle when the call to action is heard
345	Dracula	Bram Stoker	Be wise also, my friends
345	Dracula	Bram Stoker	She has not been so calm, within my seeing, since the sunset
345	Dracula	Bram Stoker	They wore high boots, with their trousers tucked into them, and had long black hair and heavy black moustaches
1342	Pride and Prejudice	Jane Austen	Miss Lucas perceived him from an upper window as he walked towards the house, and instantly set out to meet him accidentally in the lane
1342	Pride and Prejudice	Jane Austen	In her kind schemes for Elizabeth, she sometimes planned her marrying Colonel Fitzwilliam
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Angel began to call, for it was obvious that the matter should be pushed as far as it would go if a real effect were to be produced
345	Dracula	Bram Stoker	Why, your explanation makes it a harder puzzle than before
1342	Pride and Prejudice	Jane Austen	Could he expect to be noticed again by the regiment, after such an affront to Colonel Forster
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	We soothed and comforted her by such words as we could find
345	Dracula	Bram Stoker	Then there was the sound of rattling chains and the clanking of massive bolts drawn back
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	After an hour or so, Mr
345	Dracula	Bram Stoker	Somewhere high overhead, probably on the tower, I heard the voice of the Count calling in his harsh, metallic whisper
345	Dracula	Bram Stoker	To her I have explained my situation, but without the horrors which I may only surmise
1342	Pride and Prejudice	Jane Austen	It gives me pain to speak ill of a Darcy; but she is too much like her brother,--very, very proud
345	Dracula	Bram Stoker	At length we saw a four-wheeler drive up
345	Dracula	Bram Stoker	Not a detail that I can recall must be forgotten; in all calmness I must proceed
345	Dracula	Bram Stoker	Not knowing what to trust, I did not know what to do; and so had only to keep on working in what had hitherto been the groove of my life
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	We should have acted before this
345	Dracula	Bram Stoker	But as to the odour itself, how shall I describe it
